Season Number,Startup Name,Season Start,Season End,Episode Number,Episode Title,Anchor,Pitch Number,Industry,Business Description,Company Website,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Started in,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of sharks in deal,Deal has conditions,Has Patents,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ghazal Investment Amount,Ghazal Investment Equity,Ghazal Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Guest Name,Ashneer Present,Namita Present,Anupam Present,Vineeta Present,Aman Present,Peyush Present,Ghazal Present,Amit Present,Guest Present
2,SpiceStory,2/1/2023,10/3/2023,19,Building Brands For India,Rahul Dua,208,Food,Indian Sauces Chutneys,https://spice-story.in/,3,2,1,0,0,,2019,Mumbai,Maharashtra,410,57,0,0,70,2,3500,1,1,70,5,0,0,1400,1,0,0,0,0,0,70,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
2,Bullspree,2/1/2023,10/3/2023,19,Building Brands For India,Rahul Dua,209,Technology/Software,App to learn stock market basics,https://bullspree.com/,3,3,0,0,0,,0,Ahmedabad,Gujarat,-1,0,0,0,75,1.5,5000,1,1,75,2.86,0,0,2622.377622,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,1.43,0,37.5,1.43,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
2,Snitch,2/1/2023,10/3/2023,20,Nurturing Indian Entrepreneurs,Rahul Dua,210,Beauty/Fashion,Menswear,https://www.snitch.co.in/,1,1,0,0,0,,2020,Bangalore,Karnataka,0,0,0,0,150,0.5,30000,1,1,150,1.5,0,0,10000,5,0,0,0,0,0,30,0.3,0,30,0.3,0,30,0.3,0,30,0.3,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
2,Portl,2/1/2023,10/3/2023,20,Nurturing Indian Entrepreneurs,Rahul Dua,211,Services,Portl studio gym,https://portl.co/,3,3,0,0,0,,0,Hyderabad,Telangana,0,0,45,0,150,1,15000,1,1,150,2.5,0,0,6000,3,0,0,0,0,0,50,0.833,0,0,0,0,0,0,0,50,0.833,0,50,0.833,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
2,FatToSlim,2/1/2023,10/3/2023,20,Nurturing Indian Entrepreneurs,Rahul Dua,212,Beauty/Fashion,Diet Plan Weight Loss,http://fattoslimbangalore.com/,1,0,1,0,0,,0,Bangalore,Karnataka,0,14,0,0,20,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
2,CheeseCake&Co.,2/1/2023,10/3/2023,21,Adhbhut Aur Anokhe Entrepreneurs,Rahul Dua,213,Food,Cakes Slices,https://cheesecakeco.in/,2,1,1,0,1,,2018,Delhi,Delhi,0,194,0,0,100,2,5000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
2,Dabble,2/1/2023,10/3/2023,21,Adhbhut Aur Anokhe Entrepreneurs,Rahul Dua,214,Manufacturing,Paints Crayons Brushes,https://dabbleplayart.com/,2,0,2,0,0,,0,Bangalore,Karnataka,33,8.7,75,0,50,10,500,1,1,15,10,35,0,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
2,CloudTailor,2/1/2023,10/3/2023,21,Adhbhut Aur Anokhe Entrepreneurs,Rahul Dua,215,Services,Custom tailor online,https://www.cloudtailor.com/,3,2,1,0,1,,0,"Bangalore,Hyderabad","Karnataka,Telangana",-1,34,0,0,100,1.4,7142.857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
2,BeUnic,2/1/2023,10/3/2023,21,Adhbhut Aur Anokhe Entrepreneurs,Rahul Dua,216,Services,Platform for LGBTQ+ creators and entrepreneurs,https://beunic.in/,3,1,1,1,0,,0,Noida,Uttar Pradesh,50,6,0,0,100,10,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
2,Broomees,2/1/2023,10/3/2023,22,Making Big Businesses,Rahul Dua,217,Services,Helpers homemakers for your home,https://broomees.com/,3,2,1,0,0,,0,Delhi,Delhi,0,0,0,0,80,2,4000,1,1,100,3,0,0,3333.333333,3,0,0,0,0,0,33.33,1,0,0,0,0,0,0,0,33.33,1,0,33.33,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
